tipo,cruce,origen,destino,pago_operador,prioridad
MDC-01,,GYSA JUAREZ 3,GYSA JUAREZ 1,125.0,1
MDC-01,,CENTURY MOLD MEXICO S DE RL DE CV,BASE SOTELO CHIHUAHUA,125.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,XOMOX CHIHUAHUA S.A DE C.V.,125.0,1
PTT-00,,ACSA,ELECTROLUX / PRODUCTO TERMINADO,0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",125.0,1
LOC-03,,13699 GATEWAY WEST,18 LEIGH FISHER,375.0,1
MDC-01,,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,BASE SOTELO CHIHUAHUA,125.0,1
LOC-01,,SMTC PLANTA 1,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,FLETES SOTELO,GYSA JUAREZ 2,0.0,1
MDC-01,,GYSA JUAREZ JDC,GYSA JUAREZ 1,250.0,1
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,EASTLAKE LOGISTICS PARK,500.0,10
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,EXPEDITORS #2,500.0,10
LOC-01,,FEDEX GROUND,FEDEX AIR,250.0,1
LOC-01,,TORO COMPANY DE MEXICO PLANTA 1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,TRACSO CHIHUAHUA,125.0,1
E-VACIO,PUENTE AMERICAS,FLETES SOTELO,13699 GATEWAY WEST,375.0,10
E-VACIO,,FLETES SOTELO,13699 GATEWAY WEST,375.0,1
MDC-01,,ELECTROLUX / REFRIGERADORES,FLETES SOTELO,375.0,1
MDC-01,,GYSA JUAREZ 4,GYSA JUAREZ JDC,125.0,1
PTT-00,,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,BASE SOTELO CHIHUAHUA,0.0,1
LOC-03,,SOUTHWIRE COMPANY,18 LEIGH FISHER,375.0,1
LOC-02,,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",CENTURY MOLD MEXICO S DE RL DE CV,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,125.0,1
E-VACIO,PUENTE AMERICAS,FLETES SOTELO,18 LEIGH FISHER,250.0,10
E-VACIO,,FLETES SOTELO,18 LEIGH FISHER,250.0,1
PTT-00,,FOKKER,BASE SOTELO CHIHUAHUA,0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,CHIEF ENTERPRISES,125.0,1
LOC-04,,KORIMA / KUNA LOOP,IBCA LOGYSTICS,250.0,1
