Coordenada,Origen,Destino,Tipo,Cruce, pago 
2898960-6,KORIMA / KUNA LOOP,FLETES SOTELO,MDC-01,PUENTE ZARAGOZA, $250.00 
2899824-1,NA KELLY,CFI,PTT-00,, $-   
2899820-1,13699 GATEWAY WEST,CFI,PTT-00,, $-   
2899620-7,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2899620-5,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),LOC-02,, $125.00 
2899628-2,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,LOC-02,, $125.00 
2899774-4,PRECOS ZARAGOZA,GYSA  CDJ,MDC-01,, $250.00 
2899774-2,PRECOS ZARAGOZA,ELECTROLUX / LAVADORAS,PTT-00,, $-   
2899774-3,FLETES SOTELO,PRECOS ZARAGOZA,PTT-00,, $-   
2899774-1,13699 GATEWAY WEST,PRECOS ZARAGOZA,IMP-02,PUENTE ZARAGOZA, $500.00 
2899598-3,FLETES SOTELO,EXPEDITORS  #1,FAL-00,PUENTE ZARAGOZA, $250.00 
2899581-2,GYSA JUAREZ 4,FLETES SOTELO,LOC-02,, $250.00 
2899328-6,EXPEDITORS  #1,18 LEIGH FISHER,LOC-04,, $250.00 
2899688-3,GGLOBAL,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2899367-5,PRECOS ZARAGOZA,KORIMA / KUNA LOOP,TRE-02,PUENTE ZARAGOZA, $500.00 
2899784-1,CFI,SMTC PULLMAN,PTT-00,, $-   
2899281-6,LEGRAND DPC,CFI,LOC-04,, $625.00 
2899487-4,GYSA JUAREZ 5,FLETES SOTELO,LOC-02,, $250.00 
2899487-3,GYSA JUAREZ 2,GYSA JUAREZ 5,LOC-02,, $250.00 
2899566-1,KORIMA / KUNA LOOP,UNI-TRADE FORWARDING LC,MDC-01,, $250.00 
2899487-2,APTIV RIO BRAVO 1 FV39,GYSA JUAREZ 2,PTT-00,, $-   
2899665-2,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,MDC-01,, $375.00 
2899664-1,YARDA ARIES,MELTON,PTT-00,, $-   
2899367-2,IMPULSORA GANE,NORDAM,PTT-00,, $-   
2898850-3,FLETES SOTELO,KORIMA / KUNA LOOP,S-TER-01,PUENTE STA TERESA," $1,500.00 "
2899642-4,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2899454-1,13699 GATEWAY WEST,GYSA  CDJ,FAL-00,, $250.00 
2899642-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,LOC-01,, $250.00 
2899565-1,IMPULSORA GANE,YAZAKI COMPONENTES PLANTA 2,PTT-00,, $-   
2899642-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,PTT-00,, $-   
2899539-1,GYSA JUAREZ 1,GYSA JUAREZ 2,PTT-00,, $-   
2899534-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2899466-2,ACSA,ELECTROLUX / REFRIGERADORES,PTT-00,, $-   
2899462-2,IBCA LOGYSTICS,PRECOS ZARAGOZA,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2899519-1,M Y N PLASTICS,"EAST WEST EL PASO, LLC",LOC-03,, $375.00 
2899374-3,UNI-TRADE FORWARDING LC,P Y H TRAILER ENTERPRISES INC,MDC-01,, $125.00 
2899374-1,KORIMA / KUNA LOOP,UNI-TRADE FORWARDING LC,LOC-04,, $250.00 
2899516-1,XIAMEN HONFA TRANSPORTATION,950 LOMA VERDE,LOC-03,, $125.00 
2899438-1,XYLEM,IMPULSORA GANE,PTT-00,, $-   
2899289-4,MELTON,KORIMA / KUNA LOOP,PTT-00,, $-   
2899404-2,DTR PLANTA 4,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2899404-1,BASE SOTELO CHIHUAHUA,DTR PLANTA 4,PTT-00,, $-   
2899745-2,EAGLE OTAWA / ANTONIO J. BERMUDEZ,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2899402-2,DTR PLANTA 4,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2899402-1,BASE SOTELO CHIHUAHUA,DTR PLANTA 4,LOC-02,, $125.00 
2899745-1,FLETES SOTELO,EAGLE OTAWA / ANTONIO J. BERMUDEZ,PTT-01,, $-   
2898967-3,KORIMA / KUNA LOOP,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2899197-2,GYSA JUAREZ 3,FLETES SOTELO,LOC-02,, $125.00 
2899201-2,RIO BRAVO INTERNACIONAL,13699 GATEWAY WEST,MDC-01,, $250.00 
2899193-3,13699 GATEWAY WEST,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2898761-19,GYSA JUAREZ JDC,GYSA JUAREZ 3,PTT-00,, $-   
2898929-5,PRECOS ZARAGOZA,KORIMA / KUNA LOOP,TRE-QMS,PUENTE ZARAGOZA," $1,000.00 "
2899201-1,GYSA  CDJ,RIO BRAVO INTERNACIONAL,EXP-02,PUENTE ZARAGOZA, $500.00 
2899030-3,GYSA JUAREZ 3,GYSA JUAREZ JDC,PTT-00,, $-   
2899193-1,ACSA,GYSA JUAREZ 1,PTT-00,, $-   
2899164-2,YARDA ARIES,CAT SCALE,STER-ELP,, $625.00 
2899167-3,CHIEF ENTERPRISES,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2899164-1,UPRR SANTA TERESA,YARDA ARIES,PTT-00,, $-   
2898464-5,GYSA  CDJ,GYSA JUAREZ 2,MDC-01,, $250.00 
2899209-1,SMTC PLANTA 1,SMTC PLANTA 1,PTT-00,, $-   
2899422-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR  TRIUNFO,LOC-01,, $250.00 
2898929-2,XYLEM,DARTAEROSPACE,PTT-00,, $-   
2899217-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-01,, $125.00 
2898724-5,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2899212-1,ATLAS AEROSPACE,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2898731-13,GYSA JDC,GYSA JUAREZ JDC,MDC-01,, $125.00 
2898731-11,GYSA JUAREZ 2,GYSA JUAREZ 4,MDC-01,, $250.00 
2899127-2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2898976-1,CFI,18 LEIGH FISHER,PTT-00,, $-   
2899026-1,CFI,FLETES SOTELO,FAL-00,, $250.00 
2898979-1,FLETES SOTELO,KORIMA / KUNA LOOP,E-VACIO,PUENTE ZARAGOZA, $250.00 
2899038-1,13699 GATEWAY WEST,SMTC PULLMAN,PTT-00,, $-   
2898436-7,IBCA LOGYSTICS,13699 GATEWAY WEST,LOC-04,, $250.00 
2898993-2,ARIES WORLDWIDE LOGISTICS C/O,TEXTAPE / 915 PENDALE,LOC-04,, $250.00 
2898898-2,P Y H TRAILER ENTERPRISES INC,KORIMA / KUNA LOOP,MDC-01,, $250.00 
2899152-1,FLETES SOTELO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $250.00 
2898995-2,SUMITOMO ELECTRIC WIRING,FEDERAL-MOGUL EL PASO,LOC-03,, $125.00 
2898995-1,KORIMA / KUNA LOOP,SUMITOMO ELECTRIC WIRING,LOC-04,, $250.00 
2898934-1,DARTAEROSPACE,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2898621-5,SAFRAN CABIN,SAFRAN CABIN,PTT-00,, $-   
2898443-4,PUENTE  ZARAGOZA,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2898443-3,13699 GATEWAY WEST,PUENTE  ZARAGOZA,PTT-00,, $-   
2898732-5,GYSA JUAREZ 1,GYSA JUAREZ 2,MDC-01,, $125.00 
2898820-2,NA KELLY,KORIMA / KUNA LOOP,PTT-00,PUENTE AMERICAS, $-   
2898621-2,FLETES SOTELO,GGLOBAL,PTT-00,PUENTE ZARAGOZA, $-   
2898489-4,EXPEDITORS  #1,CFI,LOC-04,, $250.00 
2898443-2,FLETES SOTELO,PUENTE  ZARAGOZA,TRE-02,PUENTE ZARAGOZA, $500.00 
2898844-1,XOMOX CHIHUAHUA S.A DE C.V.,XYLEM,PTT-00,, $-   
2898504-3,ELECTROLUX / PRODUCTO TERMINADO,FLETES SOTELO,PTT-00,, $-   
2898841-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2898475-3,EL SIETE,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2897719-3,FLETES SOTELO,PHINIA / BERMUDEZ,LOC-01,, $125.00 
2898735-1,ELECTROLUX / LAVADORAS,YARDA ARIES,L-VAC-05,PUENTE ZARAGOZA, $750.00 
2898188-5,KORIMA / KUNA LOOP,EXPEDITORS #2,LOC-03,, $125.00 
2898706-1,GYSA JUAREZ 1,GYSA  CDJ,LOC-02,, $250.00 
2898635-2,BASCULA  KM20,FLETES SOTELO,LOC-01,, $250.00 
2898635-1,FLETES SOTELO,BASCULA  KM20,LOC-01,, $250.00 
2898740-2,DESPONCHADO LLANTAMAX,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-01,, $125.00 
2898740-1,BASE SOTELO CHIHUAHUA,DESPONCHADO LLANTAMAX,MDC-01,, $125.00 
2898696-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-01,, $125.00 
2898045-8,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,LOC-02,, $125.00 
2898045-7,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2898540-2,SAFRAN BODEGA COMPLEJO,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2898045-5,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2898558-1,SMTC PLANTA 1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2898504-5,KORIMA / KUNA LOOP,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,PUENTE AMERICAS, $-   
2897445-34,GYSA JUAREZ 2,GYSA  CDJ,MDC-01,, $250.00 
2898232-2,GYSA  CDJ,13699 GATEWAY WEST,FAL-00,PUENTE ZARAGOZA, $250.00 
2897855-7,THUASNE MEXICO,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2897855-6,BASE SOTELO CHIHUAHUA,THUASNE MEXICO,PTT-00,, $-   
2897927-8,ABF FREIGHT,18 LEIGH FISHER,LOC-04,, $250.00 
2898446-4,FLETES SOTELO,NA KELLY,MDC-01,, $250.00 
2897927-7,IBCA LOGYSTICS,ABF FREIGHT,LOC-03,, $250.00 
2897443-21,GYSA JUAREZ 4,GYSA JUAREZ 3,PTT-00,, $-   
2898279-2,GGLOBAL,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2898245-1,18 LEIGH FISHER,GYSA JUAREZ JDC,FAL-00,PUENTE ZARAGOZA, $250.00 
2898265-5,EASTLAKE LOGISTICS PARK,UNI-TRADE FORWARDING LC,LOC-04,, $125.00 
2898311-2,NIPPON EXPRESS USA,18 LEIGH FISHER,LOC-03,, $125.00 
2898311-1,"EAST WEST EL PASO, LLC",NIPPON EXPRESS USA,LOC-04,, $125.00 
2898366-3,MGS PLASTICS CHIHUAHUA SA DE CV,CENTURY MOLD MEXICO S DE RL DE CV,LOC-02,, $125.00 
2898319-1,PACTIV DE MEXICO S. DE R.L DE C.V.,NORDAM,PTT-00,, $-   
2898366-2,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",MGS PLASTICS CHIHUAHUA SA DE CV,LOC-02,, $125.00 
2897579-6,THUASNE MEXICO,PACTIV DE MEXICO S. DE R.L DE C.V.,PTT-00,, $-   
2897462-3,GYSA  CDJ,GYSA JUAREZ 1,MDC-01,, $250.00 
2897855-5,BASE SOTELO CHIHUAHUA,THUASNE MEXICO,MDC-01,, $125.00 
2897618-12,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-02,, $125.00 
2897618-11,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-02,, $125.00 
2897842-5,FIGEAC,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2898386-2,LEAR LAS TORRES,FLETES SOTELO,PTT-01,, $-   
2898263-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,PTT-00,, $-   
2898494-1,GYSA JUAREZ JDC,18 LEIGH FISHER,PTT-00,, $-   
2898175-1,ATLAS AEROSPACE,SMTC PLANTA 1,PTT-00,, $-   
2898112-1,ELECTROLUX / PLASTICOS,ARIES WORLDWIDE LOGISTICS C/O,E-VACIO,PUENTE AMERICAS, $500.00 
2898125-1,IMPULSORA GANE,XYLEM,LOC-01,, $125.00 
2897772-2,GYSA JUAREZ 2,GYSA JUAREZ 4,LOC-02,, $250.00 
2898029-6,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,PTT-00,, $-   
2897579-2,ESCOTO CUSTOMS BROKERS INC,PRECOS ZARAGOZA,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2898066-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL OPTOELECTRICA,LOC-02,, $250.00 
2897974-1,SOUTHWIRE COMPANY,"EAST WEST EL PASO, LLC",LOC-03,, $375.00 
2897483-3,GYSA  CDJ,GYSA JUAREZ 2,LOC-01,, $250.00 
2897956-1,IMPULSORA GANE,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2897772-5,GYSA JUAREZ 4,FLETES SOTELO,LOC-01,, $250.00 
2897318-6,IMPULSORA GANE,SAFRAN CABIN,PTT-00,, $-   
2897712-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN BODEGA COMPLEJO,PTT-00,, $-   
2897711-2,SAFRAN BODEGA COMPLEJO,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-02,, $125.00 
2897504-14,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,MDC-01,, $250.00 
2897295-5,FLETES SOTELO,ELCOM INC.,TRE-02,PUENTE ZARAGOZA, $500.00 
2897613-2,ELCOM INC.,PRECOS ZARAGOZA,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2897696-1,FLETES SOTELO,SMTC PULLMAN,PTT-00,, $-   
2897663-1,FLETES SOTELO,IBCA LOGYSTICS,PTT-00,PUENTE ZARAGOZA, $-   
2897686-2,SUMITOMO ELECTRIC WIRING,DELFINGEN US-TEXAS,LOC-03,, $125.00 
2897504-13,DSV,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,MDC-01,, $125.00 
2897613-1,FLETES SOTELO,ELCOM INC.,PTT-00,PUENTE AMERICAS, $-   
2897632-2,KYOCERA AVX COMPONETS,FLETES SOTELO,LOC-01,, $125.00 
2893721-6,KORIMA / KUNA LOOP,CFI,MDC-01,, $250.00 
2897632-1,FLETES SOTELO,KYOCERA AVX COMPONETS,PTT-01,, $-   
2897081-6,"TMX LOGISTICS, INC.",RIO BRAVO INTERNACIONAL,LOC-03,PUENTE ZARAGOZA, $250.00 
2897684-1,ADVANCED PAPERWORKS,ELLIOT TAPE 28 WALTER JONES,LOC-03,, $250.00 
2897682-2,DELFINGEN US-TEXAS,ADVANCED PAPERWORKS,LOC-03,, $250.00 
2897606-1,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / REFRIGERADORES,PTT-00,PUENTE ZARAGOZA, $-   
2896779-10,BASE SOTELO CHIHUAHUA,CHANDLER,PTT-00,, $-   
2897373-2,CHANDLER,XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2897664-1,FLETES SOTELO,SMTC PULLMAN,PTT-00,PUENTE ZARAGOZA, $-   
2897464-1,PRECOS ZARAGOZA,GYSA  CDJ,PTT-00,, $-   
2897318-2,GYSA  CDJ,GGLOBAL,PTT-00,PUENTE ZARAGOZA, $-   
2896685-3,APTIV / RIO BRAVO 7 FV32,GYSA JUAREZ 1,LOC-01,, $250.00 
2897081-3,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2897460-3,ARNPRIOR AEROSPACE CHIHUAHUA,BASE SOTELO CHIHUAHUA,PTT-08,, $-   
2897460-1,BASE SOTELO CHIHUAHUA,ARNPRIOR AEROSPACE CHIHUAHUA,PTT-08,, $-   
2896998-8,NA KELLY,IBCA LOGYSTICS,PTT-00,, $-   
2897190-4,GYSA JUAREZ JDC,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-00,, $-   
2896998-7,IBCA LOGYSTICS,NA KELLY,LOC-04,, $250.00 
2897098-7,XOMOX CHIHUAHUA S.A DE C.V.,PACTIV DE MEXICO S. DE R.L DE C.V.,PTT-00,, $-   
2897599-1,ALMAZAN,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2897435-1,FLETES SOTELO,DELFINGEN US-TEXAS,LOC-04,, $250.00 
2897314-1,FLETES SOTELO,TECMA PLANTA 31,LOC-01,, $250.00 
2897598-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,ALMAZAN,LOC-01,, $250.00 
2897506-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL OPTOELECTRICA,PTT-01,, $-   
2896780-10,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),LOC-02,, $125.00 
2897295-6,ELCOM INC.,FLETES SOTELO,I-VACIO,, $250.00 
2897153-3,13699 GATEWAY WEST,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2897294-2,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-02,, $125.00 
2897289-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-01,, $125.00 
2896443-5,PHINIA / BERMUDEZ,GYSA  CDJ,PTT-00,, $-   
2897104-2,ELECTROLUX / LAVADORAS,FLETES SOTELO,MDC-01,, $375.00 
2896780-9,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2897194-1,FLETES SOTELO,13699 GATEWAY WEST,E-VACIO,PUENTE ZARAGOZA, $375.00 
2897341-2,HONEYWELL OPTOELECTRICA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2897341-1,FLETES SOTELO,HONEYWELL OPTOELECTRICA,PTT-01,, $-   
2897176-2,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,MDC-01,, $125.00 
2896963-5,EXPEDITORS  #1,13699 GATEWAY WEST,LOC-04,, $250.00 
2897161-1,GYSA JUAREZ 3,GYSA JUAREZ 1,PTT-00,, $-   
2896779-5,ESCOTO CUSTOMS BROKERS INC,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2896982-7,EXPEDITORS #2,CFI,LOC-03,, $250.00 
2897012-2,FOREFRONT,GGLOBAL,PTT-00,PUENTE ZARAGOZA, $-   
2896982-6,CFI,EXPEDITORS #2,LOC-03,, $250.00 
2896779-3,RIO BRAVO INTERNACIONAL,ESCOTO CUSTOMS BROKERS INC,LOC-04,, $250.00 
2896977-2,UNI-TRADE FORWARDING LC,EASTLAKE LOGISTICS PARK,PTT-00,, $-   
2897223-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR ZARAGOZA,PTT-01,, $-   
2896235-63,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,DSV,MDC-01,, $125.00 
2897050-2,CENTRAL DE ABASTOS CHIHUAHUA,IGLESIA,MDC-01,, $125.00 
2897048-1,GYSA  CDJ,PKC GROUP  / FRESNEL 7650,LOC-01,, $250.00 
2897127-1,ADVANCED PAPERWORKS,"EAST WEST EL PASO, LLC",LOC-03,, $250.00 
2897238-1,TORO COMPANY DE MEXICO PLANTA 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2897126-1,APEX DIVERSIFIED / ESTHER LAMA,ADVANCED PAPERWORKS,LOC-03,, $250.00 
2897125-1,DELFINGEN US-TEXAS,APEX DIVERSIFIED / ESTHER LAMA,LOC-03,, $125.00 
2897039-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-01,, $125.00 
2896661-3,PRECOS ZARAGOZA,13699 GATEWAY WEST,TRE-02,PUENTE ZARAGOZA, $500.00 
2896897-1,KYOCERA AVX COMPONETS,GYSA  CDJ,PTT-00,, $-   
2896885-3,FLETES SOTELO,KYOCERA AVX COMPONETS,PTT-00,, $-   
2896438-7,KORIMA / KUNA LOOP,LEGRAND DPC,MDC-01,, $625.00 
2896885-2,KYOCERA AVX COMPONETS,FLETES SOTELO,PTT-01,, $-   
2896534-2,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,MDC-01,, $125.00 
2896816-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),DTR,PTT-00,, $-   
2896888-1,APEX DIVERSIFIED / ESTHER LAMA,950 LOMA VERDE,LOC-03,, $125.00 
2896782-1,GYSA JUAREZ JDC,GYSA  CDJ,PTT-00,, $-   
2896783-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,PTT-00,, $-   
2896887-2,FEDERAL-MOGUL EL PASO,APEX DIVERSIFIED / ESTHER LAMA,LOC-03,, $125.00 
2896518-8,BASE SOTELO CHIHUAHUA,XOMOX CHIHUAHUA S.A DE C.V.,LOC-02,, $125.00 
2896519-3,HOTEL RED ROOF INN CHITO SAMANIEGO DR,IBCA LOGYSTICS,PTT-00,, $-   
2896416-5,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),BODEGA NUEVA XOMOX,PTT-00,, $-   
2896741-3,CESSNA PLANTA 8,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2896741-2,CESSNA PLANTA 4.1,CESSNA PLANTA 8,LOC-02,, $125.00 
2896741-1,BASE SOTELO CHIHUAHUA,CESSNA PLANTA 4.1,PTT-00,, $-   
2896573-5,CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2896518-7,BODEGA NUEVA XOMOX,BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2896656-1,GYSA JDC,GYSA  CDJ,PTT-00,, $-   
2896155-18,GYSA JUAREZ JDC,GYSA  CDJ,MDC-01,, $125.00 
2896692-1,GYSA JUAREZ JDC,GYSA JUAREZ 1,PTT-00,, $-   
2896597-2,GYSA  CDJ,RIO BRAVO INTERNACIONAL,PTT-00,PUENTE ZARAGOZA, $-   
2896684-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SMTC PLANTA 1,PTT-00,, $-   
2896598-1,ELCOM INC.,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2896683-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2896650-2,DSV,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2896825-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 3,PTT-01,, $-   
2896647-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2896615-1,GYSA JUAREZ 1,GYSA JUAREZ 3,PTT-00,, $-   
2896550-1,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,L-VAC-05,PUENTE ZARAGOZA, $750.00 
2896551-1,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,L-VAC-05,PUENTE AMERICAS, $750.00 
2896838-1,FLETES SOTELO,FLEXSTEEL TECMA PLANTA 18,LOC-01,, $125.00 
2896136-6,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),LOC-02,, $125.00 
2896387-3,KORIMA / KUNA LOOP,PRECOS ZARAGOZA,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2896856-1,FLETES SOTELO,HONEYWELL 2,PTT-01,, $-   
2896679-1,GYSA JUAREZ 3,GYSA JUAREZ 1,LOC-01,, $125.00 
2896430-3,NA KELLY,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2896403-1,APTIV RIO BRAVO 1 FV39,13699 GATEWAY WEST,PTT-00,PUENTE ZARAGOZA, $-   
2896549-2,HONEYWELL ADENCO,FLETES SOTELO,PTT-01,, $-   
2895846-4,"TMX LOGISTICS, INC.",18 LEIGH FISHER,LOC-04,, $250.00 
2896436-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,DSV,LOC-02,, $125.00 
2896546-1,FLETES SOTELO,LEAR MONARCA,PTT-01,, $-   
2896414-1,DELFINGEN US-TEXAS,SOUTHWIRE COMPANY,LOC-03,, $375.00 
2896543-1,FLETES SOTELO,LEAR SAN LORENZO,LOC-01,, $125.00 
2896542-1,LEAR SAN LORENZO,FLETES SOTELO,LOC-01,, $125.00 
2896608-1,FLETES SOTELO,KORIMA / KUNA LOOP,E-VACIO,, $250.00 
2896057-2,EXPEDITOR,GGLOBAL,PTT-00,, $-   
2896154-4,GYSA JUAREZ 4,GYSA JUAREZ 2,MDC-01,, $250.00 
2896153-5,BASCULA  KM20,GYSA JUAREZ 3,MDC-01,, $250.00 
2896153-4,GYSA JUAREZ JDC,BASCULA  KM20,MDC-01,, $250.00 
2896142-2,GYSA JUAREZ 1,18 LEIGH FISHER,EXP-02,PUENTE STA TERESA, $500.00 
2895927-3,DESPONCHADO LLANTAMAX,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
