Coordenada,Origen,Destino,Tipo,Cruce, pago 
2902856-3,SMTC PULLMAN,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2902939-1,DSV,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2902782-1,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / PLASTICOS,QMS-02,PUENTE ZARAGOZA," $1,000.00 "
2902942-1,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),IMPULSORA GANE,PTT-00,, $-   
2902941-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),LOC-01,, $125.00 
2902743-1,GYSA JUAREZ JDC,18 LEIGH FISHER,PTT-00,PUENTE ZARAGOZA, $-   
2902938-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),DSV,LOC-01,, $125.00 
2902779-4,IBCA LOGYSTICS,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2903175-1,LEAR RIO BRAVO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $125.00 
2902856-2,IBCA LOGYSTICS,SMTC PULLMAN,PTT-00,, $-   
2902905-1,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,LOC-01,, $125.00 
2902923-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),LOC-01,, $125.00 
2902856-1,FLETES SOTELO,IBCA LOGYSTICS,PTT-00,PUENTE AMERICAS, $-   
2902846-1,IBCA LOGYSTICS,13699 GATEWAY WEST,PTT-00,, $-   
2902867-2,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,CHIEF ENTERPRISES,MDC-01,, $125.00 
2903167-1,HONEYWELL ADENCO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $125.00 
2902947-1,950 LOMA VERDE,DELFINGEN US-TEXAS,LOC-03,, $125.00 
2902794-1,MELTON,8700 CASTNER Y KESLER,PTT-00,, $-   
2902946-2,XIAMEN HONGFA TRANSPORTATION,950 LOMA VERDE,LOC-03,, $125.00 
2902772-1,IMPULSORA GANE,ATLAS AEROSPACE,PTT-00,, $-   
2903159-1,EAGLE OTAWA / ANTONIO J. BERMUDEZ,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $250.00 
2902708-4,PHINIA / BERMUDEZ,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2902946-1,KORIMA / KUNA LOOP,XIAMEN HONFA TRANSPORTATION,LOC-04,, $250.00 
